序号,评论者,评分,内容,时间
1,PsychoBabble,推荐,OMG，这尽然是一部处女作。瑕不掩瑜，已经很棒了。被宋康昊那神演技弄得几度落泪，与其说是煽情，我倒觉得这就是演员发挥出来的功力见效了，入心。故事很有嚼头，真实事件改编，韩国军事独裁到宣扬民主的一个转折。结尾哭成傻逼了。另，韩影和韩剧真是出自同一个国家吗？Come on...,2014-03-16 09:21:05
2,Ocap,推荐,最难忘的一幕是，在逼供处刚逮到律师的反派警官意外听到远处国歌响起，马上就地立正行礼。他的反应是那么迅速，神态是那么严肃、深情，你能看到他的举止绝对发自内心，以至旁若无人。这一幕太震撼了，完美诠释了爱国与行恶的不矛盾性。如果说主角代表了理想，那么这个人就是我们身边大多数人的写照。,2017-03-29 00:29:40
3,dormant,力荐,一部改变现实的电影：釜山地方法院于2014年2月13日对“釜林事件”进行了二审宣判，判决5名被告人无罪，距离一审判决时隔33年。“因为国民不富裕就不能受法律保护，就不能享受民主，这种说法我是无法接受的。”——宋佑硕,2014-03-05 22:13:55
4,zitsunari,还行,王党鞭不要看什么星星了，看这个去吧,2014-03-07 14:56:26
5,LOOK,较差,2.5 手法还是简单粗糙了点，激起观众同情心悲悯之心似乎是唯一目的，比较明显的一个问题是，这宋佑硕说变就变也太假了吧，怎么也得有个心理转变的过程啊,2014-05-10 22:31:19
6,桃桃林林,还行,煽情部分的话，其实回忆更感人。其实韩国的八十年代是很有看点的，这些年也有多部相关影片出现，从军政府到如今，卢武铉的经历恰好也可映射出韩国的民主进程。,2014-03-04 21:47:08
7,柏林苍穹下,力荐,“国家，证人所说的国家到底是什么？大韩民国宪法第一条第二项，大韩民国主权属于国家，所有的权力都由国民产生，国家即国民。但是证人毫无法律依据，一味强调国家安保，就把国家镇压践踏在了脚下······你是让善良无罪的国家生病的蛆虫，你是军事政权肮脏的帮手。”,2014-03-10 02:16:21
8,一字,力荐,不是很清楚卢武铉是个什么样的总统，不过电影是根据真实事件改编的， 至少他做过这样的事情。韩国电影一直有在自省历史，令人敬佩。大脸影帝之一的宋康昊演的太好，法庭上完全被他带入了。最后一幕特别加分，得人心者得天下！,2014-03-04 20:56:54
9,刘康康,力荐,法律有时候也是国家暴力机器的一部分，但法律依然是个人能够对抗国家机器唯一的武器，当国家机器想要彻底摧毁一个人的尊严和权利时，它首先想要做到的就是践踏法律。而当法律被如此践踏时，即使是最逐利的律师，也会挺身而出来维护法律。如果要问法律为什么值得信仰，这大概就是我的理由吧。,2014-03-19 14:14:30
10,仁直,较差,人物没弄好，各种主义弄得再有话题，也只是空洞。,2014-12-11 09:30:29
11,木卫二,推荐,只有更卖力地骂内地院线片了。原来是改编了卢武铉的故事，法庭戏倒是一般，煽情没错，但合理性和逻辑性似乎不太够，结尾超级感人。宋康昊曾用那双大小眼注视着银幕观众，如今，又是直面冷血暴力机器，非常之动情,2014-03-07 22:45:03
12,小油飞,力荐,整个观影过程中我们都在感叹原来韩国法治最黑暗的时期也还是能公开审理和请外媒记者的。。。==,2014-06-07 10:23:50
13,西楼尘,力荐,七年前这里吃的酱拌饭被呕了出来，一同呕出来的还有羞耻；后来这里的乌冬面被写了出来，一同写出来的还有谎言；而今这里的汤泡饭被吞了下去，一同吞下的还有不甘。这一爿小店，收容过落魄，接纳过缅怀，原宥过屈辱；那一方法庭，钳制过自由，欺瞒过道德，背叛过国民。应声而起的辩护人们，名字叫正义。,2018-07-08 21:54:55
14,囧叔,力荐,吃了《熔炉》的亏之后我长记性了，这次先看了完整的背景介绍，查了许多资料，就差连卢武铉的传记都看完了，才看这个电影，有效地防止了被窝囊死。,2014-06-06 11:48:28
15,OX,力荐,韩国失去像卢武铉这样的总统... 真的是国之大丧.. 还有这个叫New的制片商真心让人眼前大亮~ 去年本人觉得不错的 《新世界》、《监视者》《7号房的礼物》《捉迷藏》等电影都是New筹拍的 而且都是启用了新人做导演,2014-01-03 21:17:49
