序号,评论者,评分,内容,时间
1,同志亦凡人中文站,推荐,妈呀韩国这丧尸片一来就全民皆丧而且个个跑得飞快！套路齐全、概念明确的商业电影，有阴谋有人性有牺牲，最后剩谁一目了然。看别人都从好莱坞毕业了我们还在比妖塔盗墓谁更烂，我心塞...,2016-08-11 16:32:35
2,zjj,推荐,这片最大的bug难道不是即使过隧道列车里面也有灯啊？,2016-08-25 22:09:47
3,鯨,力荐,这部片子里的孕妇和甄嬛传里的孕妇战斗力不是一个次元的,2016-08-21 00:14:21
4,饮歌,力荐,丧尸再也不是西方的专利了！韩国影人再一次向世人证明了他们非凡的叙事能力和精巧的借鉴本事。没有好莱坞式拯救人类的大英雄主义，多了的是人性的反思与情感的刻画。无论怎么看，这部电影都是亚洲影界的头一遭，五星鼓励！,2016-08-01 22:35:17
5,sherry124,推荐,这绝壁是散户在电影史上被黑得最厉害的一次……万恶的基金经理在收割韭菜后依然成了英雄……,2016-08-21 15:59:21
6,Redux,推荐,气死我了，你们为什么不等天黑再出来?为什么?!?!?!,2016-09-12 21:17:12
7,Hecate,力荐,目前亚洲商业片的最高水准 看完之后对国产电影充满了愤怒。,2016-08-02 04:17:49
8,一颗豌豆,推荐,最喜欢老奶奶这一人物设置 以及爸爸从火车跳下那个画面,2016-07-22 23:42:15
9,一粒沙白粥,推荐,那个小女孩上了车，电影开场了那么久，我才看出来，她是个女孩！那她爸爸年年给她买什么Wii🙄,2016-09-12 23:40:08
10,亵渎电影,推荐,拍类型片这事，韩国甩出天朝几条街，人家已经是好莱坞一流的水准了，虽然各种元素用的很主流，但这就是个主流的商业大片，而且韩国人的催泪绝对是纯正的韩国特色，而且还保留了韩国电影的日常各种黑，算是部纯正的韩国味儿的好莱坞大片。,2016-09-12 11:10:56
11,恶魔奶爸Sam,力荐,大叔真屌，不过这个故事怎么看都是一个贱人害死一堆好人，让人生气,2016-09-10 22:46:24
12,米粒爱肥内裤,无评分,不以权威口吻说夸张点就吸引不了眼球：韩国电影又甩了我们十年。,2016-05-14 23:25:53
13,木卫二,推荐,联系几个前作，感觉导演是深深的厌恶人类啊。毕竟某些人类要是面目可憎起来，真的比丧尸恐怖太多了。《釜山行》一直表现平凡英雄，有始有终。没有全开主角光环，没有太bug的战斗力，合理保存了妇孺、亲情与歌声。第一枚丧女、坦克大叔、空降丧尸、高速丧尸车祸、挂满丧尸的火车头都十分出彩。,2016-09-12 00:15:08
14,肉腾腾,推荐,“你不好好读书，长大就会变成他这样。”——大反派的台词我竟然也说过。如果最后一枪开了，我给五星。＃我果然就是大反派＃,2016-09-12 14:22:07
15,影志,力荐,好过美国的《僵尸世界大战》，韩国在丧尸类型片的开拓一出手就登峰造极，个别桥段快准狠到了心骨眼！最后孕妇和小女孩穿过隧道如果遇到河正宇，那这片就真的是神作了！＝。＝,2016-09-12 01:09:48
