序号,评论者,评分,内容,时间
1,米姐起飞,力荐,"当我心中的正直感逐渐淡去之时,我庆幸我看到此片.",2010-03-07 20:00:05
2,老鸡｜扶立,力荐,史上最美的探戈,2008-01-10 17:15:23
3,A-sun*,力荐,感谢在我灵魂枯竭的时候看到这部电影。,2010-03-29 20:48:29
4,大头绿豆,力荐,刚开始，我觉得阿尔帕西诺演得有些用力了。但是看完，我觉得他就应该这么演。甚至那个年轻人O'Donneil也被他带动出极好的水准。探戈，演说。几近完美的一部片子。,2007-12-22 23:12:00
5,Q。,推荐,或许是因为年代久远，会觉得故事略显老套，但并不影响影片带来的强烈感触。问题不是哪条路是对的，问题是，你敢不敢走？人即使身残，也应保持灵魂的完整，因为灵魂没有假肢。★★★★,2010-09-27 14:50:32
6,战国客,还行,影史闻名的标题党，无感的公认佳片,2008-04-20 11:48:20
7,Lan~die,力荐,Pacino成就了这部电影，他的每次出场都使影片散发着夺目的光芒。那段震撼人心的演说，那段迷人的探戈，还有一个盲人肆无忌惮地在空旷的街道开着法拉利……当你对着镜子缅怀青春感叹年华似水时，Al让人相信，时光对他来说只是种更为炉火纯青的化妆，皱纹也可以是种性感。,2006-10-07 07:48:00
8,Cherry,力荐,原来讲的是男人的故事,2005-07-12 16:26:46
9,大島,力荐,看名字我一直以为是爱情片,2012-12-27 22:10:12
10,佛罗里达乐园,推荐,美酒佳肴衣鬓香影，一曲绝世探戈，尽情绽放然后死……连自杀都这么浪漫。片名叫人没有看的欲望，看完却觉得再适合不过。你我身边都可能会有这样一位愤世嫉俗自以为是夸夸其谈的老顽固，在他身边多呆一秒都是折磨，然后某一天发现他身上的优点比你所能想象的更多。,2010-08-29 16:00:03
11,kingfish,力荐,"Al Pacino,老了也一样帅.",2006-03-22 14:26:07
12,🍬,推荐,本来想给五分额 结果在最后雷动的掌声里 仿佛看到了春晚……╭(╯ε╰)╮,2014-03-02 20:06:24
13,20个小明≯,力荐,黑暗中，一个自责的灵魂时刻经历着生命的拷问，在它即将放弃、摆脱、抽身而去时，另一个亟待帮助的灵魂出现了…一个孤独、另一个迷茫，当两颗心碰撞在一起才发现，其实一直在相互扶持、慰藉、拯救…我的心谁能懂？当一切已无法承受，那一曲穿越灵魂的探戈告诉我们，什么样的生命才是真正的永恒！,2011-03-31 23:30:53
14,晚安小姐,推荐,喜欢TANGO那段,2007-11-27 22:45:04
15,○,力荐,改编自一本意大利小说。个人认为电影比原著出色。主演Al Pacino演技出众。一段探戈，一篇演讲，皆令人印象深刻。,2006-08-21 16:11:53
