序号,评论者,评分,内容,时间
1,纪恩同学,推荐,为什么你们都那么牛B地看到了时代的悲剧，我却傻B的没看出什么来？,2009-12-28 01:03:28
2,影志,力荐,“我的故事总是发生在夏天。炎热的气候使人们裸露得更多，也更能掩饰心中的欲望。那时侯，好像永远是夏天，太阳总是有空出来伴随着我，阳光充足，太亮，使得眼前一阵阵发黑”——电影《阳光灿烂的日子》开场对白,2006-01-08 05:13:12
3,Song³,力荐,大陆青春片的巅峰之作。,2008-11-12 13:01:24
4,frozenmoon,推荐,看看当年夏雨演技多好，浑然天成。看看宁静，看看耿乐。这么牛逼的一群人。后来怎么都混成这么四六不靠的。,2014-11-26 15:38:26
5,呱呱,力荐,理想是用来毁灭的。一句傻逼，喊出青春最有力度的挽歌。,2009-10-23 13:33:48
6,晚不安,力荐,在举国最灰暗的日子里，这帮大院子弟却在打架、泡妞、幻想，恣意消磨自己的黄金岁月，在一方小天地横行霸道但也畏惧大人。开锁、游泳、爬烟囱，少年在处理自己无处安放的欲望。闻到烧荒草的味道，是因为梦境被阳光烤黄。后来呢？后来的人生是黑白的，他们人模狗样地推杯换盏，活成了古伦木口中的傻逼。,2018-03-18 21:10:23
7,卢十四,力荐,没办法，只能打五星。,2008-09-14 16:09:53
8,朝暮雪,推荐,冯小刚的电影，我最喜欢的就是《阳光灿烂的日子》和《让子弹飞》，还有《功夫》。,2013-01-12 12:57:35
9,喻鸣,力荐,姜小军的自传式处女作，回避文革时代的是非混淆黑白颠倒，用丰富的艺术手段和荒诞的表现方式，消解权威、解构神圣，再现成长的喧哗与骚动，青春的梦幻与激情。明明是最坏的时代，却也是他们最好的时光，甩当下青春打胎片一个世纪。,2014-12-17 19:50:18
10,大鲤鱼（丹AI）,力荐,矫健又圆润的身材啊，这才是健康的审美。,2016-07-27 19:25:06
11,巴乌,力荐,90年代最伟大的电影之一,2006-05-18 21:52:40
12,冰红深蓝,力荐,"姜文导演处女作,夏雨成为最年轻的国际电影节影帝。1.运用意识流、虚实结合的手法,成功反映了文革时期青少年的迷惘、暴力和懵懂原始的爱情；2.主题曲是哀婉凄美的[乡村骑士]；3.纯真的意淫,回忆的扭曲与掩饰,结尾傻子的""傻B"",残酷青春；4.大量过曝和逆光镜头,灿烂得唯美；5.吹气球,泳池戏。（9.0/10）",2015-07-17 21:28:38
13,多看电影爱电影,推荐,姜文，夏雨，张一山长得太像了！,2017-03-18 11:55:24
14,momo,推荐,整部影片看下来也没有多感慨，毕竟我的青春和他相距甚远。,2016-10-23 09:55:11
15,米粒,力荐,啥都不说啊，经典啊。。。最爱的大陆片之一啊。宁静这身材才激发少男欲望啊！,2010-05-04 23:25:39
