序号,评论者,评分,内容,时间
1,利器prost,还行,印第安在白人领导下的反白人入侵战争，可惜史实与此相反,2009-12-23 06:48:33
2,皮革业,推荐,James Cameron闭上眼，全是电影的明天。,2009-12-23 13:17:28
3,荔枝超人,推荐,已经不是在看电影了，是在比谁Wow的次数多，眨眼次数少。,2009-12-31 14:59:28
4,郭二,推荐,场面恢弘华美，情节烂俗狗血,2009-12-17 17:53:27
5,同志亦凡人中文站,推荐,情节水了点，想象力的世界叹为观止！,2012-07-20 20:39:43
6,Menphis,力荐,钉子户 大战 城管 in 3D,2009-12-17 01:37:25
7,不体面james,力荐,当所有美国大片都开始炫耀自己的视觉效果时，詹姆斯卡梅隆只是坐在阴暗的角落里冷笑，然后抛出这么一部让所有人感慨“操，真他妈牛逼啊！”的电影。,2009-12-18 07:42:44
8,桃桃林林,推荐,十一年之后重看改成四星吧。如今再看《阿凡达》，观影感受完全不同了。可能这些年心境太多变化了。十多年前更多执着于视觉，会认为故事很套路。现在觉得，虽然故事套路，但情感是充沛且直接的，会被感动到。此外，如今再回味本片，影响主要有两方面。一方面是让内地观众知道了IMAX，并且知道了看大片必须看IMAX。另一方面，是让观众知道了3D电影，也让《阿凡达》之后，内地掀起了一股子3D电影浪潮，到今天还没完全消退。,2010-02-08 22:19:54
9,圣约血镰,力荐,抱歉，2012？在Avatar面前不过是小儿科！ 只有一句话：这是史上最强科幻！ 可恶的卡梅隆，你要让未来十年的所有科幻片都味同嚼蜡了！ 因为所有观众的审美标准已经一口气被你提高了几个档次！ 这部电影，不去剧院看绝对一辈子后悔 最后，感谢上帝赐给我们一个James Cameron,2009-12-17 00:05:47
10,清杉,力荐,"有一天,意中人会踏着飞着的大怪兽来救我.然后I see you...",2009-12-17 01:03:03
11,Color,力荐,刚刚看完，浑身起鸡皮疙瘩，无愧于人类电影历史上一个里程碑,2009-12-16 23:51:31
12,关雅荻,力荐,特效震惊，3D感一般，但够真实，故事一般，创意度一般，世界观展示一般，但呈现效果牛逼至死，战斗场面热闹和精彩，但谈不上震惊，整体只能说，整体符合预期，这是它的优点，但没有意想不到的亮点是它的遗憾之处。推荐观看。,2009-12-17 04:26:26
13,张小北,力荐,从现在到未来，从地球到潘多拉，《阿凡达》再次告诉我们，要想泡到一个姑娘，有一辆好车是多么的重要啊～～,2010-01-06 00:52:24
14,Mars,力荐,全宇宙也就天朝的钉子户最弱势了。 潘多拉版风中奇缘。另外我buy所有生物都是生态网络中相互连接的神经元这个idea。,2009-12-18 20:05:32
15,RKO,无评分,我整个人都潘多拉了,2009-12-18 00:01:08
