序号,评论者,评分,内容,时间
1,奥特曼,较差,平庸无趣、各种正确的命题作文,2017-02-16 16:19:32
2,Blueberry Pie,还行,看完全剧最难忘的一镜是，Catherine冒雨跑半mile去另一角的color bathroom，回来后被上司责骂去了哪里，在办公室中那一爆发。全剧仅此一次，其他时间所有人，不辩解，不争吵，努力工作，让自己变的有价值被看见，赢得名副其实的尊重,2017-01-13 15:58:52
3,潋 | Béatrice,力荐,absolutely fantastic！不哭闹、不控诉、不暴力、不煽动，用出类拔萃的才华让质疑者闭嘴，用真诚、努力和时时刻刻对自己权利的争取来赢得机遇和认可，机会和人生都是自己创造出来的。作为同样每天都面临种族和性别歧视的人，被这部电影的无数细节狠戳泪点。最后，向三位女性先驱致敬。,2017-01-01 15:04:34
4,鲁闽,力荐,这部电影当然是讲黑人平权，但其实也讲了一句更加朴素的真理：机会是给有准备的人，肤色让这些黑人女性本能地更具有危机意识。,2017-02-06 22:57:17
5,私享史,力荐,作为一个黑人女科学家的三座大山：第一座是肤色、第二座是性别、第三座是肤色加性别。,2017-01-28 09:48:39
6,粽人府,力荐,鼓舞人的是，影片没有歇斯底里控诉黑人如何受到不公待遇，不悲情，不煽情，不滥情，而是用实际行动去证明自己能力和价值，这才是对待生活压迫应该有的态度。向她们致敬。,2017-02-02 00:26:35
7,朝暮雪,推荐,谢耳朵做梦也没想到，他也有智商被碾压的一天。,2017-01-23 03:57:15
8,Ann,力荐,"Amazing work by those heroes behind the scene!我们今天所享受的一切平等与不那么平等，都是由无数女性、少数裔前辈斗争得来的。其中受教育的机会是我最感恩的, never take anything for granted.",2017-01-16 07:57:16
9,戴皮卡丘帽的熊,力荐,主线剧情紧凑，三个女主各有各的故事。每个人都在用不同的方式为着同一个目标抗争着。叙述十分平铺直叙，对于当年的不平等不加重描写也不一带而过，反而更加有力。副线情节有点连不上，Jim Parson真的努力在不演Sheldon了但是这个角色实在太像，辛苦了。配乐大赞。,2017-01-07 12:30:36
10,一念,力荐,看完有种立刻投入工作当中去的冲动,2021-02-12 21:22:46
11,Messi,力荐,配乐、表演很不错，用喜剧的形式表现种族问题，很可贵。 全场爆笑，中间有几次鼓掌，最后全体起立鼓掌。上座率95%以上，后来进来的都很难找到座位。,2017-01-09 09:21:07
12,同志亦凡人中文站,推荐,爱国主义＋肤色平权＋女性革命，这个时候比任何时候都需要政治正确，因为只有在失去它后我们才发现它的不可或缺。曾经黑人需要坐在隔离区，曾经女性不能进会议室，有偏见就会有第一个打破偏见的人，历史不会永远hidden。,2017-01-22 18:58:01
13,铎奇,推荐,"NASA还是好。眼泪盈眶好几次，明知道是电影刻意为之，还是买账。身为学界女性，类似事件多多少少都遇到过，知道有多不容易。""I know you probably believe that.""",2017-01-18 09:08:07
14,巨米雨,力荐,五星并不是代表是最好的，只因我们依然需要这样的电影。意外的明亮欢快。知道是主旋律刻意煽情，可还是无法控制的被打动。看到人类曾经因为肤色不同而被隔离区分觉得不可思议，此时今日，我们还有多少理所当然的不平等等待着未来的不可思议？我无法改变自己的肤色，因此我别无选择，只能成为历史第一人,2017-02-17 13:28:32
15,柯里昂,推荐,必须说，对本片的喜爱胜过隔壁的月光男孩，即使抛开肤色和性别，本片的题材和故事仍旧能够引人入胜，任何丰功伟业的背后都少不了“Hidden Figures”，三位女性在“种族歧视”和“性别歧视”的种种压力下所表现出的坚韧和勇敢无法不令人动容，相比之下，肯尼迪和马丁·路德·金的演讲似乎也只能沦为陪衬,2017-01-18 15:26:41
