序号,评论者,评分,内容,时间
1,光年‖影视歌三栖民工,推荐,老电影总是快乐得那么纯粹,2008-11-23 02:25:36
2,影志,推荐,“从此以后，我只在乎一个影迷”、“你是我的歌，春夏秋冬”…于是以后，见到这样的路灯，就想扶着灯柱起舞。,2006-02-04 06:19:12
3,周鱼,力荐,我曾无数次从《发条橙》、《AI》、《如果爱》、《WALLE》里看到对《雨中曲》的致敬 今日终于承认：这就是人类歌舞片的巅峰，超越《音乐之声》，秒杀一切，无与伦比。当然 刻画、节奏、布景等等有着非常多的毛病 还是搁置下来 好好看看吉恩凯利俘获美人心时的那副小样吧 这绝对是影史最珍贵的片段之一,2011-11-08 00:49:20
4,橘猫爱吃鱼,推荐,大雨的夜晚，与戴比·雷诺兹分别后，男主角陷入捕获芳心的无比快乐中，索性收起雨伞，在雨中载歌载舞！,2018-01-13 16:25:47
5,○,力荐,美国歌舞片的代表作。Gene Kelly初获芳心后在雨中欢快地载歌载舞，此段情节堪称歌舞片历史上的永恒经典！我都不记得我把这段看过多少遍了。,2006-08-22 13:32:52
6,同志亦凡人中文站,力荐,不只是经典的歌舞片，还有好莱坞电影工业无声变有声的历史跃进。这也许就是我对《艺术家》始终无感的原因：看过了真迹，谁会喜欢一个仿造的赝品？那样的星光，那样的雨滴，哪怕再过几十年都会一直定格在我的脑海里...,2013-06-09 17:52:13
7,流空破刃,推荐,几乎是最早的一批使用彩色胶片而非后期染色但又能有良好质感的彩色片。所谓的歌舞片之王，也……就那样了。,2010-07-17 21:40:27
8,喷子,力荐,最喜欢片头金凯利接受采访那段，讽的那叫一个犀利,2010-05-12 02:12:08
9,沉歌,力荐,永远记得他在雨中高唱“I'm singing in the rain...... ”，一下雨就常常不由自主就哼起来。,2008-01-20 15:28:49
10,[己注销],推荐,（７／１０）很久以前从《杀手莱昂》里看到了雨中舞曲，经典不用多说了。不过如今来看，这片是不是对女二琳娜太刻薄了？前半部闹出误会后，男主完全没有劝女主向琳娜道歉，只是一味片面地指责琳娜。后半部虽然琳娜也有过错，但这是因为主角们不尊重她在先（没有询问过本人是否同意），才引来了琳娜激进的反应。从头到尾男主都只顾着吵架、完全不想讲理跟琳娜缓和矛盾……另外看了下百科，本片两个女主说话的声音，其实都是来自琳娜的演员简·哈根（但女一的歌曲大多是她亲自唱的）。,2020-05-20 00:45:52
11,胤祥,力荐,除了那个多余的”百老汇旋律“的唱段，这部片儿简直完美啊。重看时发现剧作上有一处颇具匠心，片头唐讲述自己的从艺经历时的现实与故事的反差，结构性地提示了本片最重要的有声电影/配音的剧情。（不得不说那个音画不同步的梗实在太好玩了！）,2007-01-29 23:20:59
12,芦哲峰,还行,无声电影向有声电影过渡时期，着实废了一批无声电影明星，一部分是因为嗓音，一部分是因为表演，无声电影演员的表演，效果夸张，类似戏剧，而在有声电影里，这种浮夸的表演显得十分的刻意和做作；这部雨中曲，一直都是影史的经典，搁在今天来看，也只剩下精彩的歌舞了。,2011-07-21 19:56:00
13,老阿飞—故园,力荐,经典到无话可说,2006-01-08 17:42:22
14,朝暮雪,推荐,那一场不止落在洛杉矶的夜，更是无声片时代谢幕时温柔的泪雨。而他张开双臂踢踏出的水花，是整个人类影史在拥抱有声未来时，按捺不住的、会发笑的涟漪。,2017-04-19 11:17:43
15,寒枝雀静,推荐,C+ / 诡异的剧作，抛出很多有趣的点几乎无深入挖掘，倒是电影史的部分说得实在。声音这个点的伏笔完全浪费，却又成为唯一可能的剧情走向。歌舞极富美感但是很多段落无法融入整体。温习拉拉蓝的致敬梗成为额外一大乐趣。BTW戏里可以接受戏外却无法理解电影作为视觉为主的媒介却将配音形容为主角。,2017-07-08 12:00:26
