序号,评论者,评分,内容,时间
1,城南草木生,力荐,无论是现在还是在将来，疯人院和护士长化妆成各种形状潜伏在我们周围，飞越疯人院就永远有意义,2010-02-04 15:12:08
2,扭腰客,力荐,不可能飞越的，社会就是一个巨大的疯人院,2008-07-27 02:24:34
3,Zuschauerin,力荐,"上大学时候看的,几乎是我从理想主义变为现实主义者的转折点.""现实是沥青水泥马路,想在上面睬一个脚印,比登天还难"".",2008-05-25 11:37:25
4,Ridden,力荐,不自由毋宁死。,2008-01-02 16:54:18
5,老鸡｜扶立,力荐,疯子如此可爱，正常人如此可恶,2008-01-10 17:09:36
6,Q。,推荐,“至少我试过了” ★★★★,2009-02-02 02:57:53
7,锡罐头,力荐,R.P.McMurphy对体制的挑战以脑叶被切除告终，他对自由的追求失败了吗？他所有的尝试都改变了——哪怕一丁点——“疯子们”的生活环境和心灵禁锢。关于受到争议的死亡，则是酋长对完整人格的高度尊重，代表另一个层面的自由。,2010-12-04 08:46:44
8,[己注销],推荐,（８／１０）很久以前就在CCTV看到国内有个相似案件，某个官员把上访者说成是精神病就把他送进精神病院……,2011-10-05 22:14:22
9,树精,无评分,Chief给我的启示大于墨菲。一旦打破缄默，那便是行动的语言。,2008-05-11 02:16:17
10,夏小昭,力荐,这个世界上，一切都被预先谅解了，一切也就被卑鄙的许可了。---昆德拉,2011-01-20 00:15:19
11,精神废墟,力荐,与其说麦克是逃离者不如说他是反叛者，虽然两次三番想要逃离疯人院的主角都是他，但他的同理心和理想主义也将他困在了疯人院里。除了逃跑他更想反抗，也想要摇醒那些并不愿清醒的人们。所以唯一真正的逃离者是酋长，从一开始他就知道自己不属于这里，也并不为疯人院里任何一种价值观所裹挟，他从来都是个局外人。但同这里自欺欺人的某些病人一样，他也对外面的世界感到无所适从。然而麦克的勇敢无畏以及他对生活的热情点燃了酋长心中的希望，也成全了这次真正意义上的逃离。,2020-07-08 04:53:34
12,朝暮雪,力荐,同时获得奥斯卡最佳影片、最佳导演、最佳男主角、最佳女主角、最佳剧本的电影，影史只有三部，另外两部是《一夜风流》和《沉默的羔羊》。,2012-08-07 15:53:40
13,littletwo,力荐,最后实在看不过去了。无法忍受赤裸裸的残酷……,2007-11-10 13:19:51
14,我不是,力荐,哲学家只说不做，人权卫士有心无力，普通人像傻瓜一样只知道看热闹。未觉醒的力量需要人去唤醒。那个人就是“飞过杜鹃巢的人”。他牺牲了，唤醒了原力。大众的愚蠢已经不止一次被吐槽了。电影结局的美好，和当下现实的残酷，即使过了40年都未曾改变，要不然也不会有《鸟人》。你永远都飞不出疯人院。,2015-03-04 12:44:27
15,杜扬Seatory,推荐,为什么我联想到在7中的日子,2006-11-03 03:00:56
