序号,评论者,评分,内容,时间
1,眠去,推荐,人生不能像做菜，把所有的料都准备好了才下锅。还有就是，原来男人会一直有性欲。,2008-02-05 15:13:55
2,太阳的倒影,推荐,李安真是个闷骚，想骚不敢说，但又骚得难耐，只好骚得若隐若现，骚得欲说还休，把他那五千年来的性压抑骚成一套吃饭故事，一如他上台领奖，本是春风得意，却把脸摆成一幅认怂的样子，但再怂也掩不住嘴角的笑意，尼玛，我从未见过如此闷骚之人！,2017-01-29 10:50:47
3,阿右,力荐,看似最不能守住传统和孤独的人，坚持到最后。,2012-04-21 00:38:36
4,花间一姐小渡边,力荐,你个杀千刀滴老朱，我以为你要勾引我，原来你是要拐走我滴女儿！,2014-03-29 10:32:04
5,Q。,推荐,“其实一家人住在一个屋檐下，照样可以各过各的日子，可是从心里产生的那种顾忌，才是一个家之所以为家的意义。”极其平淡的生活细节，但无不透尽亲情与爱意。归亚蕾那口熟悉又有趣的湘音也让我开怀。有时候，生活和烹饪是一样的道理，需要用心去投入才能做出一份好味道。★★★★,2011-06-12 16:59:22
6,Gabrielle,力荐,到现在才看这种基础款片子实在该打。吴倩莲的角色看得我如坐针毡。归亚蕾对小珊珊说：“小孩就嘴这么叼，长大必定嫁不出了。”镜头一扫吴，我才后迟钝地顿悟。问题或许甚至不在美貌和才情就在那份致命的骄傲。这才只是副线之一。李安这人坏到骨子里去了。,2012-02-19 21:16:23
7,吊诡,力荐,家倩:啥？我买的房子是违章建筑？啥？我妹妹怀孕了？啥？我大姐的苦情史是她的幻想？啥？我炮友要结婚了？（而且我真就是个炮友？）啥？我爸把锦荣拐跑了？啥？我爸做体检是为了证明他还能再生一个？这啥世道啊？这啥家庭啊？你们这么多人玩我一个确定不是串通好的吗？还有，爸，我刚决定放弃大好前程留下来陪您，您把房都卖了，合适么？,2021-03-05 01:51:53
8,镜泉,推荐,假如94年有豆瓣 着一定会是当年最精彩的一个直播贴,2012-10-03 01:11:45
9,DJ Katze,力荐,看完之后我就想当一辈子的姗姗。,2013-06-10 11:50:47
10,5只小熊,力荐,我会告诉你我反复看了五遍开头？口水留成海,2012-09-14 01:31:55
11,艾小柯,推荐,细腻又不做作，李安的一贯风格。,2006-06-20 03:34:34
12,匡轶歌,力荐,李安最好的作品。太流畅了，调遣得宜，全无废句。,2006-10-19 17:00:43
13,张佳玮,力荐,昨天把这片子掏出来又看了遍，过去十三年看了总有三十遍了。开始是看做菜，之后看吴倩莲和赵文瑄，现在净注意杨贵媚、郎雄的小表情和归亚蕾的口音。昨天才注意到，这片平均颜值高得吓死人：三姐妹及夫婿都清爽标致，41岁的张艾嘉笑起来还有少女感。,2016-07-15 16:57:19
14,土豆泥,力荐,我也是看完这部最后笑了的人之一，两个多小时的片子却一点也不觉得长，重要的事情发生的时候都有一桌丰盛的美食，原来这就是饮食男女，我们要吃饭，我们也要生活，生活怎么能总是波澜不惊呢，必须是有着很多的问题。没有一颗细腻的心是没办法拍出这样细腻的片子的。,2012-10-06 23:01:10
15,黄青蕉,推荐,中国人的闷骚拍得好到位，以及，我说归亚蕾哪来的一口标准长沙话，居然真的是长沙人啊哈哈哈,2014-04-20 21:42:50
