序号,评论者,评分,内容,时间
1,时间的玫瑰,力荐,早期的剧，译名那叫一个经典，那个时候有匠人精神。,2009-12-06 17:02:43
2,铎奇,推荐,真爱不是订婚之后隔天就跑去打仗再无音信，真爱是一起去车站揽活儿。Kitty才是真爱Myra。,2012-12-20 04:30:48
3,果酱☮,力荐,真正的经典电影绝非是口口相传，继而跟风装B，而是即便过了那么多个时代，如今看来依旧让人发自内心由衷地喜爱它称赞它。此片真的是经典，费雯丽的表演震慑人心令人难以忘怀。尤其是从她极为迷人的大眼睛流露出的眼神里包含着的各种情绪（而不是像如今很多女星那般眼大却无神），羞涩甜蜜幸福绝望绝决,2009-02-19 05:45:50
4,Rivers,力荐,山盟海誓玉人憔悴 月缺花残终天长恨,2010-01-24 11:31:11
5,宋小君,力荐,那么多爱情，都在等待中蹉跎了。别让你爱的人等你太久。,2012-07-15 23:01:30
6,战国客,力荐,经典！只是一切已经走不出《乱世佳人》的影子了~~,2009-06-06 11:14:43
7,朝暮雪,推荐,身体是你自己的，你不需要为自己失身而感到抱歉。,2017-04-19 10:23:49
8,冰红深蓝,推荐,片子本身中规中矩，费雯·丽演技要加分！全片明确回避了“prostitute/whore”词汇，爱情戏也拍得比较克制，滑铁卢桥自杀场景的剪辑很棒，主题曲《Auld Lang Syne》闻名遐迩，让人百听不厌~ 但个人极度不赞成电影宣扬的这种保守甚至扭曲的价值观，更喜欢女二号的性格和思想。（8.0/10）,2015-03-21 14:29:35
9,宇宙,力荐,小时候跟妈妈在电影院看的 还记得妈妈哭得不成样子 爱情 尤其是残破的爱情 是可以穿越时空 打动任何人的,2008-04-28 15:01:46
10,Q。,推荐,“我爱你，我从未爱过别人。”经典的爱情故事就是无论发生在什么年代，无论是在什么样的文化差异下，都能够唤起大家共鸣的情愫。★★★★,2012-03-02 02:29:47
11,遇见彩虹🌈,力荐,《魂断蓝桥》不愧被誉为电影史上三大凄美不朽爱情影片之一，看过很多遍。,2017-11-22 13:01:12
12,超级英雄发骚友,推荐,难以想象这部美国电影竟是近80年前拍摄出来，水准之高让人咋舌，观影过程非常投入，纯洁的爱情让人心生感慨，结局之悲哀让人无比痛心，估计当年在电影院赚了不知道多少美国人的眼泪。说回故事，故事脉迹非常简单易懂，一个纯真的女人因爱人之死心灰意冷，落魄到需要出卖自己的肉体，电影在处理这一段时非常含蓄克制，由始至终没有出现过多显眼台词去提醒观众女主角的卖肉事实，可是却让懂的人更为着急，重逢一幕让人感动，最终的悲剧却是那个时代的悲剧，即使没有任何人强迫女主和爱人分开，其实分离的悲剧早已注定，很难想象一个军官能够顺利迎娶一个美丽的妓女，风言风语自是必然，最关键的是女主自己也接受不了自己的背叛，内心的煎熬如何能够度日，难道真的唯有一死才能结束？在现代观众看来，其实爱情中产生的巨大挫折有何尝不是自己性格弱点所造成,2019-03-21 15:56:39
13,Lika,力荐,玛拉的自尊心是男权社会的产物，也就是男性凝视下的自我审查，断裂的经济地位降低了寻找出路的可能性。’I never loved anyone else.I never shall. ——that’s all I wanted to know’ 不管是光明，稻草，时至今日，男性也应该做出更多，就像罗伊一样。叔叔团长的舞蹈助力、闺蜜kitty、芭比娃娃男主，40年代就已经开始闪闪发光的意识形态。玛拉的“内卷型”善良，永远真实，一定程度上暗示，爱情的完美主义是精致中产阶级的独享与作秀，其他人所期待的完美结局也许永远只是泡沫与幻想。还有另一种语境，无他，这就是没有其他杂质的，如我们期待的，激动人心又让人落泪的爱情。,2020-04-15 15:51:39
14,甜椒Oli,推荐,我也不清楚这是什么感觉 总觉得中国的文化底蕴碰上美利坚怪怪的,2017-03-28 23:07:26
15,SELVEN,力荐,95/100 他那么帅，她那么美，他们坠入爱河的速度比我18岁谈的网恋还要快。她是个悲观主义者，她把事情设想的糟糕是为了有一丁点好事发生的时候都会快乐。这部电影对儿时的我产生了很大的影响：永远不要把自己送上没有回头的路。电影奉献出一段最经典的火车送别，饿的饥肠辘辘的她却收到他的玫瑰。,2016-10-25 01:05:31
