序号,评论者,评分,内容,时间
1,米姐起飞,力荐,果真没让我失望~频频赞叹1999年人家的思维人家的意识 而咱都2012了还是爱构思古装穿越剧。。。,2012-01-20 11:44:36
2,麻木粮姜,力荐,其中的哲学影响我的哲学道路,2008-04-15 21:49:44
3,朝暮雪,力荐,有没有可能整个世界都是电脑模拟出来的，我们以及周围的一切只是电脑中的一串代码？ “你和所有人一样，生来就是奴隶，你生在一座自己感知不到的监狱” 这种猜想已经足够震撼，但《黑客帝国》的深度还不止于此，它还在这个基础上提出了新的问题： 你会选择蓝药丸还是红药丸？ 是选择美好的虚幻还是残酷的现实？ 表面上好像很好选，其实比我们想象中困难得多。 一边是未来的末日世界，被饥饿和寒冷所摧残，还要面临被机器人追杀的危险； 一边是温馨和平的年代，有蓝天白云、良辰美景，甚至还有成为成功人士的机会。 的确，所有人都知道梦境再美好也只是梦境。 但塞弗就是愿意为了区区一个梦境出卖所有人。 假如我们真的逃出矩阵，体验到现实的残酷，也许我们会做出和塞弗相同的选择。 正如当你做了美梦的时候，你宁愿继续留在梦里，不愿醒来。,2012-08-18 01:26:16
4,HalloZen,力荐,黑格尔的异化理论，事物发展到一定阶段会异化出与之相对的异己，异己的发展会最终替代本体，人发明机器，最终被机器所替代。,2013-01-28 10:51:37
5,唐小万,推荐,真是沧海桑田：那时候基努-里维斯还是清瘦小嫩肉，沃卓斯基姐弟还是沃卓斯基兄弟，诺基亚还是业界老大。,2013-07-20 22:03:09
6,战国客,推荐,一部蕴含丰富哲理的科幻巨制，袁和平的动作指导将东方武学艺术推向全世界，尼奥躲子弹的镜头成为经典~~,2007-06-30 22:34:56
7,Q。,推荐,划时代的作品，Keanu Reeves成名之作。作为奠基之作，无论是故事内容，还是电影的表现手法，都十分出众。而作为商业科幻片又蕴含丰富的哲理，带来的是视觉与心灵的双重冲击。只可惜结尾为续集的铺垫而略微显得狗血。★★★★☆,2011-04-22 03:26:03
8,影志,推荐,当时我就黑客帝国了。,2006-02-10 14:11:14
9,kidultcc,还行,想quote张潇雨的一条微博：“越是伟大的作品，在多年以后再体验越会感觉平平无奇。因为那些伟大的部分已经传承和渗透到无数的后来者里，成为了这个世界「默认设置」的一部分。换个角度讲，在实际接触到那个原始作品之前，你已经体验过它无数次了。” 而这段话就是2019年的我，对此片的观感。,2019-11-26 12:47:55
10,莫呼洛迦-屁股上的青春在歌唱,推荐,你的認知決定你的選擇，你的選擇決定你是誰。 我們一直都有選擇： 選擇當一個溫良恭儉讓的良民， 也選擇當一個破壞溫良恭儉讓的暴民。 我們似乎也一直有選擇： 吞下紅藥丸，成為救世主； 或者吞下藍藥丸，繼續在母體構建的虛幻中渾渾噩噩地活下去。 我們從不真正相信「明天會更好」， 但我們卻心安理得地相信—— AI 不會在明天就把我們幹掉， 只因為它今天帶來的便利太過無往不利⋯⋯ 我們選擇那些我們以為是我們自己選擇的； 我們相信那些我們以為是我們自己相信的。 因為我們堅信—— 造物主不會對我們那麼殘忍， 總會有一位救世主，來拯救我們。 但誰來拯救我們的「相信」？ 很難想像這部 1999 年的電影，竟然能如此同時具備—— 娛樂性、哲學性、預言性。 在我目力所及之處， 至今，無人能出其右。,2010-02-04 08:16:01
11,451½°F™,很差,事实上属于极其恶劣的「反价值」电影，通过煽动与迎和一切世俗的「价值观」（反体制/环保/反叛），加上一切刺激感官的影音特效与快餐式呈现，讲述一个大杂烩的神棍世界故事，当然沃卓斯基氏在首部曲中只是一种卑劣的商业贩子而已，还没有后两部的彻底反智与神棍。,2007-12-20 19:59:47
12,本多,力荐,装逼哲学的开始,2007-07-08 18:00:38
13,艾小柯,力荐,新的哲学，开创动作片之先河,2006-06-21 01:51:50
14,高歌,力荐,禅宗慧能说：不是幡动，不是风动，而是心动。,2011-05-01 02:57:52
15,fateface,力荐,1999年的电影，脑洞大得不止一点两点。更好玩的是，好像全世界正往那个方向走。这两天看完《未来简史》后不断想到这个电影，就复习了一遍。真是毫无违和感，一点都不像18年前的电影。,2017-03-20 20:27:10
