排名,中文标题,外文标题,上映年份,片长,类型,IMDb,详情链接
1,肖申克的救赎,The Shawshank Redemption  / 月黑高飞(港) / 刺激1995(台),1994,142分钟,剧情 / 犯罪,tt0111161,https://movie.douban.com/subject/1292052/
2,霸王别姬,再见，我的妾 / Farewell My Concubine,1993,171分钟 / 155分钟(美国剧场版),剧情 / 爱情 / 同性,tt0106332,https://movie.douban.com/subject/1291546/
3,泰坦尼克号,Titanic  / 铁达尼号(港 / 台),1998,194分钟 / 227分钟(白星版),剧情 / 爱情 / 灾难,tt0120338,https://movie.douban.com/subject/1292722/
4,阿甘正传,Forrest Gump  / 福雷斯特·冈普,1994,142分钟,剧情 / 爱情,tt0109830,https://movie.douban.com/subject/1292720/
5,千与千寻,千と千尋の神隠し  / 神隐少女(台) / 千与千寻的神隐,2019,125分钟,剧情 / 动画 / 奇幻,tt0245429,https://movie.douban.com/subject/1291561/
6,美丽人生,La vita è bella  / 一个快乐的传说(港) / Life Is Beautiful,2020,116分钟(国际版) / 125分钟,剧情 / 喜剧 / 爱情 / 战争,tt0118799,https://movie.douban.com/subject/1292063/
7,星际穿越,Interstellar  / 星际启示录(港) / 星际效应(台),2014,169分钟,剧情 / 科幻 / 冒险,tt0816692,https://movie.douban.com/subject/1889243/
8,这个杀手不太冷,Léon  / 终极追杀令(台) / 杀手莱昂,2024,133分钟(中国大陆) / 110分钟(剧场版),剧情 / 动作 / 犯罪,tt0110413,https://movie.douban.com/subject/1295644/
9,盗梦空间,Inception  / 潜行凶间(港) / 全面启动(台),2010,148分钟,剧情 / 科幻 / 悬疑 / 冒险,tt1375666,https://movie.douban.com/subject/3541415/
10,楚门的世界,The Truman Show  / 真人Show(港) / 真人戏,1998,103分钟,剧情 / 科幻,tt0120382,https://movie.douban.com/subject/1292064/
11,辛德勒的名单,Schindler's List  / 舒特拉的名单(港) / 辛德勒名单,1993,195分钟,剧情 / 历史 / 战争,tt0108052,https://movie.douban.com/subject/1295124/
12,忠犬八公的故事,Hachi: A Dog's Tale  / 秋田犬八千(港) / 忠犬小八(台),2009,93分钟,剧情,tt1028532,https://movie.douban.com/subject/3011091/
13,海上钢琴师,La leggenda del pianista sull'oceano  / 声光伴我飞(港) / 一九零零的传奇,2019,120分钟(国际版) / 170分钟(加长版) / 126分钟,剧情 / 音乐,tt0120731,https://movie.douban.com/subject/1292001/
14,疯狂动物城,Zootopia  / 优兽大都会(港) / 动物方城市(台),2016,109分钟(中国大陆) / 108分钟,喜剧 / 动画 / 冒险,tt2948356,https://movie.douban.com/subject/25662329/
15,三傻大闹宝莱坞,3 Idiots  / 三个傻瓜(台) / 作死不离3兄弟(港),2011,171分钟(印度),剧情 / 喜剧 / 爱情 / 歌舞,tt1187043,https://movie.douban.com/subject/3793023/
16,机器人总动员,WALL·E  / 太空奇兵·威E(港) / 瓦力(台),2008,98分钟,科幻 / 动画 / 冒险,tt0910970,https://movie.douban.com/subject/2131459/
17,放牛班的春天,Les choristes  / 歌声伴我心(港) / 唱诗班男孩,2004,97分钟,剧情 / 音乐,tt0372824,https://movie.douban.com/subject/1291549/
18,无间道,無間道  / Infernal Affairs / Mou gaan dou,2003,101分钟 / 97分钟(导演剪辑版),剧情 / 惊悚 / 犯罪,tt0338564,https://movie.douban.com/subject/1307914/
19,控方证人,Witness for the Prosecution  / 雄才伟略 / 情妇,2025,116分钟,剧情 / 悬疑 / 惊悚 / 犯罪,tt0051201,https://movie.douban.com/subject/1296141/
20,寻梦环游记,Coco  / 玩转极乐园(港) / 可可夜总会(台),2017,105分钟,喜剧 / 动画 / 音乐 / 奇幻,tt2380307,https://movie.douban.com/subject/20495023/
