排名,中文标题,外文标题,评分,评价人数,导演,主演,简介,详情链接
1,肖申克的救赎,The Shawshank Redemption,9.7,3285248,弗兰克·德拉邦特 Frank Darabont,蒂姆·罗宾斯 Tim Robbins /...,暂无简介,https://movie.douban.com/subject/1292052/
2,霸王别姬,,9.6,2423845,陈凯歌 Kaige Chen,张国荣 Leslie Cheung / 张丰毅 Fengyi Zha...,暂无简介,https://movie.douban.com/subject/1291546/
3,泰坦尼克号,Titanic,9.5,2499135,詹姆斯·卡梅隆 James Cameron,莱昂纳多·迪卡普里奥 Leonardo...,暂无简介,https://movie.douban.com/subject/1292722/
4,阿甘正传,Forrest Gump,9.5,2430892,罗伯特·泽米吉斯 Robert Zemeckis,汤姆·汉克斯 Tom Hanks / ...,暂无简介,https://movie.douban.com/subject/1292720/
5,千与千寻,千と千尋の神隠し,9.4,2537538,宫崎骏 Hayao Miyazaki,柊瑠美 Rumi Hîragi / 入野自由 Miy...,暂无简介,https://movie.douban.com/subject/1291561/
6,美丽人生,La vita è bella,9.5,1482686,罗伯托·贝尼尼 Roberto Benigni,罗伯托·贝尼尼 Roberto Beni...,暂无简介,https://movie.douban.com/subject/1292063/
7,星际穿越,Interstellar,9.4,2184542,克里斯托弗·诺兰 Christopher Nolan,马修·麦康纳 Matthew Mc...,暂无简介,https://movie.douban.com/subject/1889243/
8,这个杀手不太冷,Léon,9.4,2552850,吕克·贝松 Luc Besson,让·雷诺 Jean Reno / 娜塔莉·波特曼 ...,暂无简介,https://movie.douban.com/subject/1295644/
9,盗梦空间,Inception,9.4,2326072,克里斯托弗·诺兰 Christopher Nolan,莱昂纳多·迪卡普里奥 Le...,暂无简介,https://movie.douban.com/subject/3541415/
10,楚门的世界,The Truman Show,9.4,2019878,彼得·威尔 Peter Weir,金·凯瑞 Jim Carrey / 劳拉·琳妮 Lau...,暂无简介,https://movie.douban.com/subject/1292064/
11,辛德勒的名单,Schindler's List,9.5,1247482,史蒂文·斯皮尔伯格 Steven Spielberg,连姆·尼森 Liam Neeson...,暂无简介,https://movie.douban.com/subject/1295124/
12,忠犬八公的故事,Hachi: A Dog's Tale,9.4,1543591,莱塞·霍尔斯道姆 Lasse Hallström,理查·基尔 Richard Ger...,暂无简介,https://movie.douban.com/subject/3011091/
13,海上钢琴师,La leggenda del pianista sull'oceano,9.3,1879994,朱塞佩·托纳多雷 Giuseppe Tornatore,蒂姆·罗斯 Tim Roth / ...,暂无简介,https://movie.douban.com/subject/1292001/
14,疯狂动物城,Zootopia,9.3,2320837,拜伦·霍华德 Byron Howard / 瑞奇·摩尔 Rich Moore,金妮弗·...,暂无简介,https://movie.douban.com/subject/25662329/
15,三傻大闹宝莱坞,3 Idiots,9.2,2079040,拉库马·希拉尼 Rajkumar Hirani,阿米尔·汗 Aamir Khan / 卡...,暂无简介,https://movie.douban.com/subject/3793023/
16,机器人总动员,WALL·E,9.3,1493951,安德鲁·斯坦顿 Andrew Stanton,本·贝尔特 Ben Burtt / 艾丽...,暂无简介,https://movie.douban.com/subject/2131459/
17,放牛班的春天,Les choristes,9.3,1474292,克里斯托夫·巴拉蒂 Christophe Barratier,让-巴蒂斯特·莫尼...,暂无简介,https://movie.douban.com/subject/1291549/
18,无间道,無間道,9.3,1565780,刘伟强 / 麦兆辉,刘德华 Andy Lau / 梁朝伟 Tony Leung Chiu W...,暂无简介,https://movie.douban.com/subject/1307914/
19,控方证人,Witness for the Prosecution,9.6,743898,比利·怀尔德 Billy Wilder,泰隆·鲍华 Tyrone Power / 玛琳·...,暂无简介,https://movie.douban.com/subject/1296141/
20,寻梦环游记,Coco,9.1,1990229,李·昂克里奇 Lee Unkrich / 阿德里安·莫利纳 Adrian Molina,...,暂无简介,https://movie.douban.com/subject/20495023/
21,大话西游之大圣娶亲,西遊記大結局之仙履奇緣,9.2,1710121,刘镇伟 Jeffrey Lau,周星驰 Stephen Chow / 吴孟达 Man Tat Ng...,暂无简介,https://movie.douban.com/subject/1292213/
22,熔炉,도가니,9.3,1036536,黄东赫 Dong-hyuk Hwang,孔侑 Yoo Gong / 郑有美 Yu-mi Jung /...,暂无简介,https://movie.douban.com/subject/5912992/
23,触不可及,Intouchables,9.3,1296546,奥利维·那卡什 Olivier Nakache / 艾力克·托兰达 Eric Toledano   主...,,暂无简介,https://movie.douban.com/subject/6786002/
24,教父,The Godfather,9.3,1107923,弗朗西斯·福特·科波拉 Francis Ford Coppola,马龙·白兰度 M...,暂无简介,https://movie.douban.com/subject/1291841/
25,末代皇帝,The Last Emperor,9.3,1029591,贝纳尔多·贝托鲁奇 Bernardo Bertolucci,尊龙 John Lone / 陈...,暂无简介,https://movie.douban.com/subject/1293172/
26,哈利·波特与魔法石,Harry Potter and the Sorcerer's Stone,9.2,1423880,Chris Columbus,Daniel Radcliffe / Emma Watson / Rupert Grint,暂无简介,https://movie.douban.com/subject/1295038/
27,当幸福来敲门,The Pursuit of Happyness,9.1,1688837,加布里尔·穆奇诺 Gabriele Muccino,威尔·史密斯 Will Smith ...,暂无简介,https://movie.douban.com/subject/1849031/
28,龙猫,となりのトトロ,9.2,1412064,宫崎骏 Hayao Miyazaki,日高法子 Noriko Hidaka / 坂本千夏 Ch...,暂无简介,https://movie.douban.com/subject/1291560/
29,活着,,9.3,970986,张艺谋 Yimou Zhang,葛优 You Ge / 巩俐 Li Gong / 姜武 Wu Jiang,暂无简介,https://movie.douban.com/subject/1292365/
30,怦然心动,Flipped,9.1,2052373,罗伯·莱纳 Rob Reiner,玛德琳·卡罗尔 Madeline Carroll / 卡...,暂无简介,https://movie.douban.com/subject/3319755/
31,蝙蝠侠：黑暗骑士,The Dark Knight,9.2,1193588,克里斯托弗·诺兰 Christopher Nolan,克里斯蒂安·贝尔 Christ...,暂无简介,https://movie.douban.com/subject/1851857/
32,指环王3：王者无敌,The Lord of the Rings: The Return of the King,9.3,911291,彼得·杰克逊 Peter Jackson,伊利亚·伍德 Elijah Wood / 西恩...,暂无简介,https://movie.douban.com/subject/1291552/
33,我不是药神,,9.0,2351842,文牧野 Muye Wen,徐峥 Zheng Xu / 王传君 Chuanjun Wang / 周...,暂无简介,https://movie.douban.com/subject/26752088/
